白晃晃	白茫茫
白脸儿	黑脸儿
白茫茫	黑忽忽
百链钢	绕指柔
败家子	守财奴
傍黑儿	傍亮儿
傍亮儿	傍黑儿
褒义词	贬义词
暴发户	破落户
北半球	南半球
北方人	南方人
北寒带	南寒带
北极光	南极光
北极圈	南极圈
北温带	南温带
背风面	迎风面
背风坡	迎风坡
背光性	向光性
被害人	加害人
本地货	舶来品
本国货	来路货
必然性	偶然性
必修科	选修科
必需品	奢侈品
闭卷考	开卷考
闭幕式	开幕式
贬义词	褒义词
蹩脚货	珍贵品
剥削者	劳动者
舶来品	洋货
薄湿湿	暖烘烘
不安分	守分
不伏手	伏手
不高兴	高兴
不结实	牢固
不雅观	雅观
不值得	值得
布纹纸	光面相片
参战国	交战国
唱主角	跑龙套
抄近儿	绕远儿
扯後腿	破坏
沉甸甸	轻飘飘
持久战	速决战
臭烘烘	香喷喷
出发点	目的地
出笼鸟	辕下驹
出售品	非卖品
出柙虎	脱�马
处之袒	心安理得
寸草心	三春晖
大老婆	小老婆
大杂烩	清一色
单纯词	合成词
单记法	连记法
淡水湖	咸水湖
淡水鱼	咸水鱼
当事人	局外人
低能儿	高材生
低气压	高气压
低血压	高血压
喋不休	滔滔不绝
东半球	西半球
独立国	附庸国
独木桥	阳关道
独幕剧	多幕剧
对不起	对得起
对得起	对不起
顿开名	一窍不通
多幕剧	独幕剧
多年生	一年生
多元论	一元论
发话器	受话器
法律审	事实审
反比例	正比例
反对者	同盟者
反射角	投射角
反射线	入射线
非法性	合法性
附庸国	殖民地
富家儿	窭人子
戆小子	精灵鬼
高气压	低气压
高气压	低气压
高血压	低血压
搁不住	搁得住
搁不住	搁得住
搁得住	搁不住
格律诗	自由诗
共和国	君主国
好日子	苦日子
好一阵	一会儿
红彤彤	黑黝黝
积极性	消极性
